rel_path,source,title,title_norm,published_raw,date_iso,cluster_size,cluster_sources_count,story_role
MC1/News Articles/All News Today/714.txt,All News Today,A CELEBRATION OF UNFETTERED KLEPTOCRACY,A CELEBRATION OF UNFETTERED KLEPTOCRACY,2014/01/19,2014-01-19,3,3,Primary
MC1/News Articles/All News Today/753.txt,All News Today,PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,2012/09/08,2012-09-08,2,2,Primary
MC1/News Articles/All News Today/77.txt,All News Today,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,2011/06/21,2011-06-21,4,3,Derivative
MC1/News Articles/Athena Speaks/138.txt,Athena Speaks,DISAPPEARED CONFIRMED BY CONTROL FROM GASTECH,DISAPPEARED CONFIRMED BY CONTROL FROM GASTECH,By Haneson Ngohebo,,1,1,Primary
MC1/News Articles/Athena Speaks/140.txt,Athena Speaks,TOP EVENTS WITH GASTECH,TOP EVENTS WITH GASTECH,2014/01/20,2014-01-20,1,1,Primary
MC1/News Articles/Athena Speaks/141.txt,Athena Speaks,REGISTERED OFFICES OF GASTECH BLOCKED BY POK,REGISTERED OFFICES OF GASTECH BLOCKED BY POK,2009/02/21,2009-02-21,1,1,Primary
MC1/News Articles/Athena Speaks/160.txt,Athena Speaks,TO MEET the WHOLE FOR Tomorrow morning,TO MEET THE WHOLE FOR TOMORROW MORNING,2014/01/19,2014-01-19,1,1,Primary
MC1/News Articles/Athena Speaks/191.txt,Athena Speaks,THE SPONTANEOUS PROTESTS BURST AROUND ABILA,THE SPONTANEOUS PROTESTS BURST AROUND ABILA,2009/06/21,2009-06-21,1,1,Primary
MC1/News Articles/Athena Speaks/202.txt,Athena Speaks,The AIRPORT Of ABILA CONFIRMS TWO PRIVATE TRAVELS OUT OF LEFT JET TODAY,THE AIRPORT OF ABILA CONFIRMS TWO PRIVATE TRAVELS OUT OF LEFT JET TODAY,2014/01/20,2014-01-20,1,1,Primary
MC1/News Articles/Athena Speaks/220.txt,Athena Speaks,"GOVERNMENT ACKNOWLEDGE ""MINOR"" CONTAMINATION CLOSE TO ELODIS","GOVERNMENT ACKNOWLEDGE ""MINOR"" CONTAMINATION CLOSE TO ELODIS",1997/10/17,1997-10-17,1,1,Primary
MC1/News Articles/Athena Speaks/231.txt,Athena Speaks,BRONZE ATTACK OF TIME OF DAY BY POK,BRONZE ATTACK OF TIME OF DAY BY POK,2013/12/17,2013-12-17,1,1,Primary
MC1/News Articles/Athena Speaks/255.txt,Athena Speaks,BLOTTER Of ARREST OF POLICE FORCE OF KRONOS - ABILA,BLOTTER OF ARREST OF POLICE FORCE OF KRONOS - ABILA,2011/11/23,2011-11-23,1,1,Primary
MC1/News Articles/Athena Speaks/270.txt,Athena Speaks,VICTOIRE Of CRUMBLING FOR PRESIDENT KAPELOU,VICTOIRE OF CRUMBLING FOR PRESIDENT KAPELOU,2000/10/04,2000-10-04,1,1,Primary
MC1/News Articles/Athena Speaks/295.txt,Athena Speaks,EXPLOSION AND FIRE OF CURVE OF TISKELE,EXPLOSION AND FIRE OF CURVE OF TISKELE,2000/08/18,2000-08-18,1,1,Primary
MC1/News Articles/Athena Speaks/354.txt,Athena Speaks,THE CHIEF OF STOPPED POK,THE CHIEF OF STOPPED POK,2009/03/14,2009-03-14,1,1,Primary
MC1/News Articles/Athena Speaks/383.txt,Athena Speaks,TURN OF PROTESTS Of ELODIS TO the RIOTS AND the ARRESTS,TURN OF PROTESTS OF ELODIS TO THE RIOTS AND THE ARRESTS,2005/09/26,2005-09-26,1,1,Primary
MC1/News Articles/Athena Speaks/405.txt,Athena Speaks,BIRTHDAY OF THE PROTESTS,BIRTHDAY OF THE PROTESTS,2010/06/15,2010-06-15,1,1,Primary
MC1/News Articles/Athena Speaks/433.txt,Athena Speaks,ARRESTS CONNECTED BY DRUG ON RISE,ARRESTS CONNECTED BY DRUG ON RISE,2011/05/15,2011-05-15,1,1,Primary
MC1/News Articles/Athena Speaks/466.txt,Athena Speaks,"EMPLOYEE OF QUESTIONED GASTECH, RELEASED","EMPLOYEE OF QUESTIONED GASTECH, RELEASED",2014/01/20,2014-01-20,1,1,Primary
MC1/News Articles/Athena Speaks/48.txt,Athena Speaks,ACCIDENT OF TRAFFIC CLOSE TO ELODIS,ACCIDENT OF TRAFFIC CLOSE TO ELODIS,2007/04/11,2007-04-11,1,1,Primary
MC1/News Articles/Athena Speaks/516.txt,Athena Speaks,KIDNAPPING WITH THE REGISTERED OFFICES OF GASTECH,KIDNAPPING WITH THE REGISTERED OFFICES OF GASTECH,2014/01/20,2014-01-20,1,1,Primary
MC1/News Articles/Athena Speaks/519.txt,Athena Speaks,HEALTH FOR ALL THE REPORT/RATIO OF QUESTIONS ABOUT ELODIS,HEALTH FOR ALL THE REPORT/RATIO OF QUESTIONS ABOUT ELODIS,1998/11/17,1998-11-17,1,1,Primary
MC1/News Articles/Athena Speaks/601.txt,Athena Speaks,PRESIDENT KAPELOU II A ELECTED BY THE MARGIN RECORD,PRESIDENT KAPELOU II A ELECTED BY THE MARGIN RECORD,2010/10/04,2010-10-04,1,1,Primary
MC1/News Articles/Athena Speaks/610.txt,Athena Speaks,THE THREATS PUBLISHED BY POK,THE THREATS PUBLISHED BY POK,2012/03/10,2012-03-10,2,2,Derivative
MC1/News Articles/Athena Speaks/615.txt,Athena Speaks,THE GOVERNMENT ANSWERS ANOTHER ROUND OF THE PROTESTS,THE GOVERNMENT ANSWERS ANOTHER ROUND OF THE PROTESTS,2010/06/21,2010-06-21,1,1,Primary
MC1/News Articles/Athena Speaks/64.txt,Athena Speaks,"THE GOVERNMENT MARKS POK ""PUBLIC THREAT""","THE GOVERNMENT MARKS POK ""PUBLIC THREAT""",2011/07/29,2011-07-29,1,1,Primary
MC1/News Articles/Athena Speaks/652.txt,Athena Speaks,POSSIBLE CONTAMINATION IN ELODIS,POSSIBLE CONTAMINATION IN ELODIS,1997/04/24,1997-04-24,5,5,Derivative
MC1/News Articles/Athena Speaks/74.txt,Athena Speaks,WHO ARE the PROTESTERS,WHO ARE THE PROTESTERS,2012/08/24,2012-08-24,4,4,Derivative
MC1/News Articles/Central Bulletin/113.txt,Central Bulletin,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,2005/09/25,2005-09-25,3,3,Derivative
MC1/News Articles/Central Bulletin/123.txt,Central Bulletin,GOVERNMENT LABELS POK 'PUBLIC THREAT',GOVERNMENT LABELS POK 'PUBLIC THREAT',2011/07/28,2011-07-28,2,2,Derivative
MC1/News Articles/Central Bulletin/125.txt,Central Bulletin,"GASTECH EMPLOYEE INTERROGATED, RELEASED","GASTECH EMPLOYEE INTERROGATED, RELEASED",2014/01/20,2014-01-20,3,3,Primary
MC1/News Articles/Central Bulletin/136.txt,Central Bulletin,POSSIBLE CONTAMINATION IN ELODIS,POSSIBLE CONTAMINATION IN ELODIS,1997/04/23,1997-04-23,5,5,Primary
MC1/News Articles/Central Bulletin/151.txt,Central Bulletin,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,1997/10/16,1997-10-16,3,3,Derivative
MC1/News Articles/Central Bulletin/170.txt,Central Bulletin,GASTECH LEADERSHIP CONFIRMED MISSING,GASTECH LEADERSHIP CONFIRMED MISSING,2014/01/20,2014-01-20,3,3,Primary
MC1/News Articles/Central Bulletin/213.txt,Central Bulletin,WHO ARE THE PROTESTERS,WHO ARE THE PROTESTERS,2012/08/23,2012-08-23,4,4,Derivative
MC1/News Articles/Central Bulletin/244.txt,Central Bulletin,PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN,PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN,,,3,3,Unknown
MC1/News Articles/Central Bulletin/34.txt,Central Bulletin,ANNIVERSARY OF PROTESTS,ANNIVERSARY OF PROTESTS,2010/06/14,2010-06-14,5,5,Derivative
MC1/News Articles/Central Bulletin/37.txt,Central Bulletin,KRONOS POLICE ARREST BLOTTER - ABILA,KRONOS POLICE ARREST BLOTTER - ABILA,2011/11/23,2011-11-23,3,3,Derivative
MC1/News Articles/Central Bulletin/401.txt,Central Bulletin,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,WELLNESS FOR ALL ISSUES STATEMENT ON ELODIS,1998/11/16,1998-11-16,3,3,Derivative
MC1/News Articles/Central Bulletin/403.txt,Central Bulletin,LANDSLIDE VICTORY FOR PRESIDENT KAPELOU,LANDSLIDE VICTORY FOR PRESIDENT KAPELOU,2000/10/02,2000-10-02,3,3,Primary
MC1/News Articles/Central Bulletin/565.txt,Central Bulletin,GASTECH HEADQUARTERS BLOCKED BY POK,GASTECH HEADQUARTERS BLOCKED BY POK,2009/02/19,2009-02-19,3,3,Primary
MC1/News Articles/Central Bulletin/578.txt,Central Bulletin,TRAFFIC ACCIDENT NEAR ELODIS,TRAFFIC ACCIDENT NEAR ELODIS,2007/04/11,2007-04-11,4,4,Derivative
MC1/News Articles/Central Bulletin/604.txt,Central Bulletin,GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS,GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS,2010/06/21,2010-06-21,3,3,Derivative
MC1/News Articles/Central Bulletin/618.txt,Central Bulletin,MEETING SET FOR TOMORROW MORNING,MEETING SET FOR TOMORROW MORNING,2014/01/19,2014-01-19,3,3,Primary
MC1/News Articles/Central Bulletin/673.txt,Central Bulletin,WRAP UP OF EVENTS AT GASTECH,WRAP UP OF EVENTS AT GASTECH,2014/01/20,2014-01-20,3,3,Primary
MC1/News Articles/Central Bulletin/734.txt,Central Bulletin,TISKELE BEND EXPLOSION AND FIRE,TISKELE BEND EXPLOSION AND FIRE,2000/08/17,2000-08-17,3,3,Derivative
MC1/News Articles/Central Bulletin/745.txt,Central Bulletin,SPONTANEOUS PROTESTS ERUPT AROUND ABILA,SPONTANEOUS PROTESTS ERUPT AROUND ABILA,2009/06/21,2009-06-21,3,3,Derivative
MC1/News Articles/Central Bulletin/798.txt,Central Bulletin,POK LEADER ARRESTED,POK LEADER ARRESTED,2009/03/13,2009-03-13,3,3,Derivative
MC1/News Articles/Central Bulletin/800.txt,Central Bulletin,BRAZEN DAY TIME ASSAULT BY POK,BRAZEN DAY TIME ASSAULT BY POK,2013/12/17,2013-12-17,3,3,Derivative
MC1/News Articles/Centrum Sentinel/118.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/13.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/142.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,21 January 2014,2014-01-21,32,1,Derivative
MC1/News Articles/Centrum Sentinel/15.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/199.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/203.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/208.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/232.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/280.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/299.txt,Centrum Sentinel,VOICES - a blog aon what is important to people,VOICES - A BLOG AON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,1,1,Primary
MC1/News Articles/Centrum Sentinel/308.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/320.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/325.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/386.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/418.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,21 January 2014,2014-01-21,32,1,Derivative
MC1/News Articles/Centrum Sentinel/434.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/485.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/486.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/490.txt,Centrum Sentinel,VOICES - a blog approximately that what is important to people,VOICES - A BLOG APPROXIMATELY THAT WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,3,1,Primary
MC1/News Articles/Centrum Sentinel/521.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/551.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/56.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/562.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/597.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/624.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,21 January 2014,2014-01-21,32,1,Derivative
MC1/News Articles/Centrum Sentinel/649.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/655.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/665.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/708.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,21 January 2014,2014-01-21,32,1,Derivative
MC1/News Articles/Centrum Sentinel/717.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/749.txt,Centrum Sentinel,VOICES - a blog approximately that what is important to people,VOICES - A BLOG APPROXIMATELY THAT WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,3,1,Primary
MC1/News Articles/Centrum Sentinel/793.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,21 January 2014,2014-01-21,32,1,Derivative
MC1/News Articles/Centrum Sentinel/817.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/828.txt,Centrum Sentinel,VOICES - a blog approximately that what is important to people,VOICES - A BLOG APPROXIMATELY THAT WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,3,1,Primary
MC1/News Articles/Centrum Sentinel/841.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Centrum Sentinel/844.txt,Centrum Sentinel,VOICES - a blog on what is important to people,VOICES - A BLOG ON WHAT IS IMPORTANT TO PEOPLE,20 January 2014,2014-01-20,32,1,Primary
MC1/News Articles/Daily Pegasus/101.txt,Daily Pegasus,THE DEMONSTRATION ATTRACTS THOUSANDS IN SPITE OF RAIN,THE DEMONSTRATION ATTRACTS THOUSANDS IN SPITE OF RAIN,2012/11/11,2012-11-11,2,2,Primary
MC1/News Articles/Daily Pegasus/115.txt,Daily Pegasus,LEAF 2002 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,LEAF 2002 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,2002/05/27,2002-05-27,1,1,Primary
MC1/News Articles/Daily Pegasus/157.txt,Daily Pegasus,ARRESTED LEADER KAREL OF POK,ARRESTED LEADER KAREL OF POK,2009/03/13,2009-03-13,1,1,Primary
MC1/News Articles/Daily Pegasus/175.txt,Daily Pegasus,A GLANCE BEHIND IN A CUT TRAGICAL OF THE LIFE PUTS IN SHORT CIRCUIT: ELIAN KAREL,A GLANCE BEHIND IN A CUT TRAGICAL OF THE LIFE PUTS IN SHORT CIRCUIT: ELIAN KAREL,2011/06/21,2011-06-21,1,1,Primary
MC1/News Articles/Daily Pegasus/182.txt,Daily Pegasus,"THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES","THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES",2007/03/21,2007-03-21,1,1,Primary
MC1/News Articles/Daily Pegasus/22.txt,Daily Pegasus,THE MEMBERS OF POK ARRESTED,THE MEMBERS OF POK ARRESTED,2001/09/02,2001-09-02,1,1,Primary
MC1/News Articles/Daily Pegasus/257.txt,Daily Pegasus,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER","IN REMEMBRANCE: THE DEATH OF ELIAN KAREL, A YEAR LATER",2010/06/21,2010-06-21,3,3,Derivative
MC1/News Articles/Daily Pegasus/264.txt,Daily Pegasus,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part three","ELODIS, KRONOS: THE GOVERNMENT WILL RESPOND IN TIME? PART THREE",1998/05/17,1998-05-17,1,1,Primary
MC1/News Articles/Daily Pegasus/269.txt,Daily Pegasus,ELIAN KAREL DIED IN KRONOS JAIL,ELIAN KAREL DIED IN KRONOS JAIL,2009/06/21,2009-06-21,1,1,Primary
MC1/News Articles/Daily Pegasus/272.txt,Daily Pegasus,LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,2004/05/31,2004-05-31,1,1,Primary
MC1/News Articles/Daily Pegasus/317.txt,Daily Pegasus,"ELODIS, KRONOS:  A CITY IN the NECESSITY, part one","ELODIS, KRONOS: A CITY IN THE NECESSITY, PART ONE",1998/03/21,1998-03-21,1,1,Primary
MC1/News Articles/Daily Pegasus/465.txt,Daily Pegasus,"THE DEFEATED MEASUREMENT, EFFORTS OF THE TAX OF POK WAS CLOGGED","THE DEFEATED MEASUREMENT, EFFORTS OF THE TAX OF POK WAS CLOGGED",2001/03/23,2001-03-23,1,1,Primary
MC1/News Articles/Daily Pegasus/482.txt,Daily Pegasus,MINISTER OF THE HEALTH TO PROPOSE THE SOLUTION TO THE ENVIRONMENT OF THE CITY,MINISTER OF THE HEALTH TO PROPOSE THE SOLUTION TO THE ENVIRONMENT OF THE CITY,1999/07/08,1999-07-08,1,1,Primary
MC1/News Articles/Daily Pegasus/51.txt,Daily Pegasus,THE POK MEETING DRAWS THOUSANDS OF THOSE IN FAVOR,THE POK MEETING DRAWS THOUSANDS OF THOSE IN FAVOR,2009/03/09,2009-03-09,1,1,Primary
MC1/News Articles/Daily Pegasus/55.txt,Daily Pegasus,INFLAMMATION OF THE PROTESTS IN ABILA IN ANSWER TO CALLS TO THE ACTION,INFLAMMATION OF THE PROTESTS IN ABILA IN ANSWER TO CALLS TO THE ACTION,2014/03/26,2014-03-26,1,1,Primary
MC1/News Articles/Daily Pegasus/568.txt,Daily Pegasus,LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS,1998/05/17,1998-05-17,1,1,Primary
MC1/News Articles/Daily Pegasus/572.txt,Daily Pegasus,POK REMEMBERS MARTYRED LEADER,POK REMEMBERS MARTYRED LEADER,2012/06/22,2012-06-22,4,4,Derivative
MC1/News Articles/Daily Pegasus/602.txt,Daily Pegasus,A CELEBRATION OF KLEPTOCRACY UNFETTERED,A CELEBRATION OF KLEPTOCRACY UNFETTERED,2014/01/19,2014-01-19,1,1,Primary
MC1/News Articles/Daily Pegasus/628.txt,Daily Pegasus,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,1998/11/16,1998-11-16,1,1,Primary
MC1/News Articles/Daily Pegasus/647.txt,Daily Pegasus,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED","ELODIS, KRONOS: AID OF ONE DIVIDES TWO OF THE SOURCE UNEXPECTED",1998/04/27,1998-04-27,1,1,Primary
MC1/News Articles/Daily Pegasus/700.txt,Daily Pegasus,THE WHO BRINGS A WEAPON TO SEATING INSIDE?,THE WHO BRINGS A WEAPON TO SEATING INSIDE?,2013/06/22,2013-06-22,1,1,Primary
MC1/News Articles/Daily Pegasus/72.txt,Daily Pegasus,LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS - UPDATE,LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS - UPDATE,2000/06/01,2000-06-01,1,1,Primary
MC1/News Articles/Daily Pegasus/748.txt,Daily Pegasus,DEFICIENCY OF THE INTENTIONS OF THE MARS GOVERNMENT OF THE DETAILS,DEFICIENCY OF THE INTENTIONS OF THE MARS GOVERNMENT OF THE DETAILS,1993/02/04,1993-02-04,1,1,Primary
MC1/News Articles/Daily Pegasus/760.txt,Daily Pegasus,POK PROTESTS THE END IN HALTINGS,POK PROTESTS THE END IN HALTINGS,2005/04/07,2005-04-07,1,1,Primary
